8   4   98.00      76.00      2144.      14.7   80  2	"vw rabbit"
7   4   89.00      60.00      1968.      18.8   80  3	"toyota corolla tercel"
6   4   98.00      70.00      2120.      15.5   80  1	"chevrolet chevette"
7   4   86.00      65.00      2019.      16.4   80  3	"datsun 310"
5   4   151.0      90.00      2678.      16.5   80  1	"chevrolet citation"
5   4   140.0      88.00      2870.      18.1   80  1	"ford fairmont"
4   4   151.0      90.00      3003.      20.1   80  1	"amc concord"
3   6   225.0      90.00      3381.      18.7   80  1	"dodge aspen"
5   4   89.00      62.00      1845.      15.3   80  2	"vokswagen rabbit"
6   6   168.0      132.0      2910.      11.4   80  3	"datsun 280-zx"
4   3   70.00      100.0      2420.      12.5   80  3	"mazda rx-7 gs"
6   4   122.0      88.00      2500.      15.1   80  2	"triumph tr7 coupe"
6   4   107.0      72.00      2290.      17.0   80  3	"honda accord"
5   4   135.0      84.00      2490.      15.7   81  1	"plymouth reliant"
5   4   151.0      84.00      2635.      16.4   81  1	"buick skylark"
5   4   156.0      92.00      2620.      14.4   81  1	"dodge aries wagon (sw)"
2   8   400.0      175.0      5140.      12.0   71  1	"pontiac safari (sw)"
3   6   258.0      110.0      2962.      13.5   71  1	"amc hornet sportabout (sw)"
4   4   140.0      72.00      2408.      19.0   71  1	"chevrolet vega (sw)"
3   6   250.0      100.0      3282.      15.0   71  1	"pontiac firebird"
3   6   250.0      88.00      3139.      14.5   71  1	"ford mustang"
4   4   122.0      86.00      2220.      14.0   71  1	"mercury capri 2000"
5   4   116.0      90.00      2123.      14.0   71  2	"opel 1900"
5   4   79.00      70.00      2074.      19.5   71  2	"peugeot 304"
5   4   88.00      76.00      2065.      14.5   71  2	"fiat 124b"
3   8   307.0      130.0      3504.      12.0   70  1	"chevrolet chevelle malibu"
2   8   350.0      165.0      3693.      11.5   70  1	"buick skylark 320"
3   8   318.0      150.0      3436.      11.0   70  1	"plymouth satellite"
3   8   304.0      150.0      3433.      12.0   70  1	"amc rebel sst"
1   8   304.0      193.0      4732.      18.5   70  1	"hi 1200d"
5   4   97.00      88.00      2130.      14.5   71  3	"datsun pl510"
5   4   140.0      90.00      2264.      15.5   71  1	"chevrolet vega 2300"
4   4   113.0      95.00      2228.      14.0   71  3	"toyota corona"
4   6   198.0      95.00      2833.      15.5   70  1	"plymouth duster"
3   6   199.0      97.00      2774.      15.5   70  1	"amc hornet"
4   6   200.0      85.00      2587.      16.0   70  1	"ford maverick"
5   4   97.00      88.00      2130.      14.5   70  3	"datsun pl510"
5   4   97.00      46.00      1835.      20.5   70  2	"volkswagen 1131 deluxe sedan"
4   4   110.0      87.00      2672.      17.5   70  2	"peugeot 504"
4   4   107.0      90.00      2430.      14.5   70  2	"audi 100 ls"
4   4   104.0      95.00      2375.      17.5   70  2	"saab 99e"
5   4   121.0      113.0      2234.      12.5   70  2	"bmw 2002"
4   6   199.0      90.00      2648.      15.0   70  1	"amc gremlin"
1   8   360.0      215.0      4615.      14.0   70  1	"ford f250"
1   8   307.0      200.0      4376.      15.0   70  1	"chevy c20"
3   6   232.0      100.0      2634.      13.0   71  1	"amc gremlin"
2   8   350.0      165.0      4274.      12.0   72  1	"chevrolet impala"
2   8   400.0      175.0      4385.      12.0   72  1	"pontiac catalina"
2   8   318.0      150.0      4135.      13.5   72  1	"plymouth fury iii"
2   8   351.0      153.0      4129.      13.0   72  1	"ford galaxie 500"
3   8   304.0      150.0      3672.      11.5   72  1	"amc ambassador sst"
2   8   429.0      208.0      4633.      11.0   72  1	"mercury marquis"
2   8   350.0      155.0      4502.      13.5   72  1	"buick lesabre custom"
2   8   350.0      160.0      4456.      13.5   72  1	"oldsmobile delta 88 royale"
2   8   400.0      190.0      4422.      12.5   72  1	"chrysler newport royal"
3   3   70.00      97.00      2330.      13.5   72  3	"mazda rx2 coupe"
2   8   304.0      150.0      3892.      12.5   72  1	"amc matador (sw)"
